Date,Sales
2023-01,1200
2023-02,1350
2023-03,1280
2023-04,1450
2023-05,1500
2023-06,1620
2023-07,1700
2023-08,1650
2023-09,1800
2023-10,1900
2023-11,2100
2023-12,2300
2024-01,2250
2024-02,2400
2024-03,2500
2024-04,2650
2024-05,2750
2024-06,2900
2024-07,3000
2024-08,3150
2024-09,3250
2024-10,3400
2024-11,3600
2024-12,3850
2025-01,3950
2025-02,4100
2025-03,4250
2025-04,4400
2025-05,4600
2025-06,4750
2025-07,4900
2025-08,5100
2025-09,5250
2025-10,5450
2025-11,5650
2025-12,5900
